"","X","Nest_ID","Female_ID","Male_ID","Female_dur_care","Male_dur_care","Hatching_date","Year","Chick","Chick_ID","Chick_surv_age","Hatching_date_ch","Fate","Cap_date","Cap_age","Chick_weight","Left_tarsus_ch","Right_tarsus_ch","Mean_tarsus_ch","Mean_brood_weight","Mean_brood_tarsus","Chick_CI","Mean_brood_CI","Max_chick_CI"
"68",68,"2007_A202","CA1268","802109716",1,26,"2007-06-01",2007,1,"CA1420",3.5,"2007-06-01","died","2007-06-02",-1,5.5,17.8,17.9,17.85,5.7,17.9166666666667,5.23654811407493,5.42696804549584,5.61738797691674
"69",69,"2007_A204","CA035","CA069",1.5,13,"2007-05-25",2007,1,"CA1274",13,"2007-05-25","unknown","2007-05-25",0,5.3,16.9,17.1,17,5.3,16.525,5.98000220795103,5.98000220795103,5.98000220795103
"70",70,"2007_A206","CA2037","CA1229",8.5,21,"2007-05-30",2007,1,"CA1291",20.5,"2007-05-30","unknown","2007-05-30",0,5.9,16.5,16.3,16.4,5.4,16.425,6.74238076923128,6.17099256844896,6.74238076923128
"71",71,"2007_A301","CA151","CA153",17,17,"2007-06-25",2007,1,"CA1345",17,"2007-06-25","unknown","2007-06-25",0,5.2,17.4,17.4,17.4,5.05,17.45,5.23305736818555,5.08210379025712,5.23305736818555
"72",72,"2007_A5","CA1255","CA1260",1,26,"2007-05-30",2007,1,"CA1287",26,"2007-05-30","fledged","2007-05-30",0,6.1,16.8,16.7,16.75,6.15,16.925,6.54549010151612,6.59914165972527,6.65279321793442
"73",73,"2007_A6","CA1256","CA1259",3,8,"2007-05-29",2007,1,"CA1283",8,"2007-05-29","died","2007-05-29",0,5.7,17,17,17,5.75,17.075,6.00398941067137,6.05665598444919,6.109322558227
"74",74,"2007_A7","CA072","CA1234",14.5,26,"2007-06-09",2007,1,"CA1431",26,"2007-06-09","fledged","2007-06-09",0,6.2,18.3,18.1,18.2,6.1,17.675,6.07378563628863,5.97582135183236,6.07378563628863
"75",75,"2007_A8","CA177","CA220",3,15,"2007-06-14",2007,1,"CA1311",15,"2007-06-14","died","2007-06-14",0,4.7,17.4,17.3,17.35,5.4,18.3,4.28028933828916,4.91777923973648,5.55526914118381
"76",76,"2007_A9","CA1281","CA1301",9.5,11,"2007-06-11",2007,1,"CA1306",11,"2007-06-11","died","2007-06-11",0,5.3,16.3,16.3,16.3,5.2,16.925,5.68706517016975,5.57976205375145,5.68706517016975
"77",77,"2007_B-1","23","CA168",1.5,26,"2007-05-14",2007,1,"CA1215",26,"2007-05-14","fledged","2007-05-16",-2,NA,17.9,18.1,NA,NA,NA,NA,NA,NA
"78",78,"2007_B1","CA034","6",2,26,"2007-05-18",2007,1,"CA1269",26,"2007-05-18","fledged","2007-05-18",0,6.6,18.5,18.4,18.45,6.6,18.45,5.90845749198126,5.90845749198126,5.90845749198126
"79",79,"2007_B101","CA1258","CA1270",1.5,13,"2007-05-28",2007,1,"CA1242",12.5,"2007-05-28","unknown","2007-05-28",0,6,17.5,17.5,17.5,5.95,17.35,6.1114589934644,6.06053016851887,6.1114589934644
"80",80,"2007_B103","CA1265","CA078",2.5,26,"2007-05-17",2007,1,"CA1218",26,"2007-05-17","fledged","2007-05-17",0,6.3,17.3,17.4,17.35,6.35,17.1,6.61563102924888,6.66813603741752,6.72064104558617
"81",81,"2007_B104","CA243","CA043",3,26,"2007-06-11",2007,1,"CA1438",26,"2007-06-11","fledged","2007-06-11",0,6.2,17.6,17.5,17.55,6.25,17.175,6.45106000199463,6.50308467943007,6.55510935686551
"82",82,"2007_B106","CA136","CA230",16,17,"2007-06-25",2007,1,"CA1480",26,"2007-06-25","fledged","2007-06-25",0,6.5,17.8,17.6,17.7,6.5,17.625,6.40567279067374,6.40567279067374,6.40567279067374
"83",83,"2007_B107","CA035","CA1335",12,12,"2007-06-29",2007,1,"CA1497",12,"2007-06-29","unknown","2007-06-29",0,6.3,17.6,17.6,17.6,6.4,17.375,6.39765769376191,6.49920781588511,6.60075793800832
"84",84,"2007_B108","CA1334","CA127",14,14,"2007-06-26",2007,1,"CA1487",14,"2007-06-26","unknown","2007-06-26",0,6.5,18.3,18.3,18.3,6.65,17.925,6.18260740050655,6.32528295590285,6.46795851129916
"85",85,"2007_B4","CA112","802122925",1,26,"2007-05-28",2007,1,"CA1282",26,"2007-05-28","fledged","2007-05-28",0,6.3,17.7,17.8,17.75,6.3,17.475,6.32101789813811,6.32101789813811,6.32101789813811
